backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_scale,error_probability,logical_error_rate,layout_method,routing_method,translating_method,gate_overhead,tq_gate_overhead,swap_overhead
real_nighthawk,,bacon,bposd,11,11,1000,real_flamingo,10,,0.052000,N/A,sabre,N/A,0,0,4417
real_nighthawk,,bacon,bposd,11,11,1000,real_flamingo,1,,0.155000,N/A,sabre,N/A,0,0,4298
real_nighthawk,,bacon,bposd,11,11,1000,real_flamingo,10,,0.081000,N/A,basic,N/A,0,0,7315
real_nighthawk,,bacon,bposd,11,11,1000,real_flamingo,1,,0.256000,N/A,basic,N/A,0,0,7315
real_nighthawk,,surface,bposd,7,7,1000,real_flamingo,10,,0.001000,N/A,sabre,N/A,0,0,2027
real_nighthawk,,surface,bposd,7,7,1000,real_flamingo,1,,0.001000,N/A,sabre,N/A,0,0,2036
real_nighthawk,,color,bposd,7,7,1000,real_flamingo,10,,0.006000,N/A,sabre,N/A,0,0,2443
real_nighthawk,,color,bposd,7,7,1000,real_flamingo,10,,0.007000,N/A,basic,N/A,0,0,2595
real_nighthawk,,surface,bposd,7,7,1000,real_flamingo,10,,0.000000,N/A,basic,N/A,0,0,2639
real_nighthawk,,color,bposd,7,7,1000,real_flamingo,1,,0.005000,N/A,sabre,N/A,0,0,2381
real_nighthawk,,color,bposd,7,7,1000,real_flamingo,1,,0.014000,N/A,basic,N/A,0,0,2595
real_nighthawk,,surface,bposd,7,7,1000,real_flamingo,1,,0.005000,N/A,basic,N/A,0,0,2639
real_nighthawk,,hh,bposd,7,7,1000,real_flamingo,10,,0.003000,N/A,sabre,N/A,0,0,2704
real_nighthawk,,hh,bposd,7,7,1000,real_flamingo,1,,0.014000,N/A,sabre,N/A,0,0,2699
real_nighthawk,,hh,bposd,7,7,1000,real_flamingo,10,,0.003000,N/A,basic,N/A,0,0,3509
real_nighthawk,,hh,bposd,7,7,1000,real_flamingo,1,,0.013000,N/A,basic,N/A,0,0,3509
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,1,,0.061000,N/A,sabre,N/A,0,0,5669
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,10,,0.048000,N/A,sabre,N/A,0,0,5649
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,10,,0.051000,N/A,basic,N/A,0,0,5699
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,1,,0.048000,N/A,basic,N/A,0,0,5699
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,10,,0.000000,N/A,sabre,N/A,0,0,18457
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,1,,0.005000,N/A,sabre,N/A,0,0,18576
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,10,,0.092000,N/A,basic,N/A,0,0,27288
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,1,,0.367000,N/A,basic,N/A,0,0,27288