backend,backend_size,code,distance,cycles,state,routing_method,layout_method,gate_overhead_mean,gate_overhead_var,tq_gate_overhead_mean,tq_gate_overhead_var,swap_overhead_mean,swap_overhead_var
custom_heavyhex,300,bacon,17,17,,sabre,trivial,4616.723,2127.268271,4616.723,2127.268271,4616.723,2127.268271
custom_heavyhex,300,bacon,17,17,,sabre,dense,3768.776,1621.447824,3768.776,1621.447824,3768.776,1621.447824
custom_heavyhex,300,steane,9,9,,sabre,trivial,13217.815,73428.290775,13217.815,73428.290775,13217.815,73428.290775
custom_heavyhex,300,steane,9,9,,sabre,dense,12468.589,74004.816079,12468.589,74004.816079,12468.589,74004.816079
custom_heavyhex,300,bacon,17,17,,sabre,sabre,1953.368,6489.952576,1953.368,6489.952576,1953.368,6489.952576
custom_heavyhex,300,steane,9,9,,sabre,sabre,7228.631,37712.710839,7228.631,37712.710839,7228.631,37712.710839
custom_heavyhex,300,color,11,11,,sabre,trivial,22220.714,310593.266204,22220.714,310593.266204,22220.714,310593.266204
custom_heavyhex,300,color,11,11,,sabre,dense,20551.377,505720.804871,20551.377,505720.804871,20551.377,505720.804871
custom_heavyhex,300,surface,11,11,,sabre,dense,18477.715,213821.84977499998,18477.715,213821.84977499998,18477.715,213821.84977499998
custom_heavyhex,300,surface,11,11,,sabre,trivial,24128.195,216704.410975,24128.195,216704.410975,24128.195,216704.410975
custom_heavyhex,300,color,11,11,,sabre,sabre,10330.207,102505.83415099999,10330.207,102505.83415099999,10330.207,102505.83415099999
custom_heavyhex,300,hh,11,11,,sabre,dense,24994.453,438701.239791,24994.453,438701.239791,24994.453,438701.239791
custom_heavyhex,300,hh,11,11,,sabre,trivial,32710.46,372769.34440000006,32710.46,372769.34440000006,32710.46,372769.34440000006
custom_heavyhex,300,surface,11,11,,sabre,sabre,9340.27,361635.6231,9340.27,361635.6231,9340.27,361635.6231
custom_heavyhex,300,hh,11,11,,sabre,sabre,11666.703,797007.830791,11666.703,797007.830791,11666.703,797007.830791
custom_heavyhex,300,gross,145,145,,sabre,trivial,89814.773,306159.939471,89814.773,306159.939471,89814.773,306159.939471
custom_heavyhex,300,gross,145,145,,sabre,dense,89926.388,237407.09945600003,89926.388,237407.09945600003,89926.388,237407.09945600003
custom_heavyhex,300,gross,145,145,,sabre,sabre,74522.025,41201.426375,74522.025,41201.426375,74522.025,41201.426375
custom_heavyhex,300,bacon,17,17,,basic,trivial,7274.0,0.0,7274.0,0.0,7274.0,0.0
custom_heavyhex,300,bacon,17,17,,basic,sabre,3491.327,17997.442071,3491.327,17997.442071,3491.327,17997.442071
custom_heavyhex,300,bacon,17,17,,basic,dense,5855.0,0.0,5855.0,0.0,5855.0,0.0
custom_heavyhex,300,steane,9,9,,basic,trivial,18878.0,0.0,18878.0,0.0,18878.0,0.0
custom_heavyhex,300,steane,9,9,,basic,dense,16550.0,0.0,16550.0,0.0,16550.0,0.0
custom_heavyhex,300,steane,9,9,,basic,sabre,15143.104,944900.237184,15143.104,944900.237184,15143.104,944900.237184
custom_heavyhex,300,bacon,17,17,,stochastic,sabre,3986.29,22530.1139,3986.29,22530.1139,3986.29,22530.1139
custom_heavyhex,300,bacon,17,17,,stochastic,dense,7085.115,26268.467774999997,7085.115,26268.467774999997,7085.115,26268.467774999997
custom_heavyhex,300,bacon,17,17,,stochastic,trivial,8734.37,27351.545100000003,8734.37,27351.545100000003,8734.37,27351.545100000003
custom_heavyhex,300,steane,9,9,,stochastic,sabre,9926.303,98698.961191,9926.303,98698.961191,9926.303,98698.961191
custom_heavyhex,300,steane,9,9,,stochastic,dense,12423.298,183419.79319599998,12423.298,183419.79319599998,12423.298,183419.79319599998
custom_heavyhex,300,steane,9,9,,stochastic,trivial,12986.241,149233.022919,12986.241,149233.022919,12986.241,149233.022919
custom_heavyhex,300,color,11,11,,basic,dense,34600.0,0.0,34600.0,0.0,34600.0,0.0
custom_heavyhex,300,color,11,11,,basic,trivial,43925.0,0.0,43925.0,0.0,43925.0,0.0
custom_heavyhex,300,color,11,11,,basic,sabre,27258.356,3212569.173264,27258.356,3212569.173264,27258.356,3212569.173264
custom_heavyhex,300,surface,11,11,,basic,dense,50774.0,0.0,50774.0,0.0,50774.0,0.0
custom_heavyhex,300,surface,11,11,,basic,sabre,36488.118,4954611.796076001,36488.118,4954611.796076001,36488.118,4954611.796076001
custom_heavyhex,300,surface,11,11,,basic,trivial,63820.0,0.0,63820.0,0.0,63820.0,0.0
custom_heavyhex,300,color,11,11,,stochastic,sabre,21460.091,521423.550719,21460.091,521423.550719,21460.091,521423.550719
custom_heavyhex,300,color,11,11,,stochastic,trivial,31244.605,1824464.3069749998,31244.605,1824464.3069749998,31244.605,1824464.3069749998
custom_heavyhex,300,color,11,11,,stochastic,dense,31413.731,2819355.576639,31413.731,2819355.576639,31413.731,2819355.576639
custom_heavyhex,300,surface,11,11,,stochastic,sabre,19961.458,1076198.938236,19961.458,1076198.938236,19961.458,1076198.938236
custom_heavyhex,300,surface,11,11,,stochastic,dense,28917.909,888404.2827190001,28917.909,888404.2827190001,28917.909,888404.2827190001
custom_heavyhex,300,surface,11,11,,stochastic,trivial,36445.519,1006011.919639,36445.519,1006011.919639,36445.519,1006011.919639
custom_heavyhex,300,gross,145,145,,basic,trivial,159871.0,0.0,159871.0,0.0,159871.0,0.0
custom_heavyhex,300,hh,11,11,,stochastic,sabre,22775.025,1748213.954375,22775.025,1748213.954375,22775.025,1748213.954375
custom_heavyhex,300,gross,145,145,,basic,dense,161117.0,0.0,161117.0,0.0,161117.0,0.0
custom_heavyhex,300,gross,145,145,,basic,sabre,146991.983,5703077.086711001,146991.983,5703077.086711001,146991.983,5703077.086711001
custom_heavyhex,300,hh,11,11,,stochastic,dense,34319.331,2138265.905439,34319.331,2138265.905439,34319.331,2138265.905439
custom_heavyhex,300,hh,11,11,,stochastic,trivial,42973.371,1447381.361359,42973.371,1447381.361359,42973.371,1447381.361359
custom_heavyhex,300,hh,11,11,,basic,trivial,74188.0,0.0,74188.0,0.0,74188.0,0.0
custom_heavyhex,300,hh,11,11,,basic,dense,66180.0,0.0,66180.0,0.0,66180.0,0.0
custom_heavyhex,300,hh,11,11,,basic,sabre,39629.976,8975689.163424,39629.976,8975689.163424,39629.976,8975689.163424
custom_heavyhex,300,gross,145,145,,stochastic,trivial,133093.383,2027437.1383109998,133093.383,2027437.1383109998,133093.383,2027437.1383109998
custom_heavyhex,300,gross,145,145,,stochastic,dense,133329.05,2948374.2075,133329.05,2948374.2075,133329.05,2948374.2075
custom_heavyhex,300,gross,145,145,,stochastic,sabre,123246.097,715424.671591,123246.097,715424.671591,123246.097,715424.671591
